,numero
0,2.22
1,1.27
2,1.30
3,
4,1.11
5,1.48
6,3.22
7,1.45
8,1.29
9,
10,1.10
11,1.37
12,20.36
13,6.86
14,2.83
15,1.51
16,
17,1.41
18,5.47
19,2.03
20,1.80
21,1.03
22,1.00
23,1.39
24,20.15
25,1.58
26,1.28
27,1.22
28,1.95
29,2.28
30,7.49
31,1.74
32,1.09
33,
34,1.51
35,1.68
36,5.29
37,1.48
38,1.83
39,1.93
40,40.17
41,1.22
42,17.63
43,1.00
44,3.92
45,6.46
46,1.04
47,
48,1.00
49,1.03
50,2.88
51,
52,1.00
53,29.42
54,3.07
55,
56,3.74
57,7.43
58,6.12
59,
60,1.17
61,
62,1.68
63,
64,1.80
65,1.83
66,1.34
67,5.54
68,6.26
69,2.07
70,3.27
71,
72,1.17
73,
74,2.11
75,2.15
76,1.00
77,1.45
78,3.05
79,1.02
80,1.13
81,16.71
82,1.00
83,12.97
84,5.06
85,1.02
86,
87,1.17
88,1.48
89,2.96
90,
91,1.00
92,
93,1.01
94,1.04
95,
96,1.98
97,1.20
98,2.50
99,25.76
100,1.68
